Distance (m),RSSI (dBm),Beacon (BSSID),Sender IPv4
40 cm,-74,08:7b:87:b3:18:a1,N/A
40 cm,-74,08:7b:87:b3:18:a2,N/A
40 cm,-74,08:7b:87:b3:18:a3,N/A
40 cm,-80,08:7b:87:b2:f2:e0,N/A
40 cm,-81,08:7b:87:b2:f2:e1,N/A
40 cm,-80,08:7b:87:b2:f2:e2,N/A
40 cm,-74,08:7b:87:b3:18:a1,N/A
40 cm,-78,08:7b:87:b2:f2:e0,N/A
40 cm,-78,08:7b:87:b2:f2:e1,N/A
40 cm,-78,08:7b:87:b2:f2:e2,N/A
40 cm,-75,08:7b:87:b3:18:a1,N/A
40 cm,-75,08:7b:87:b3:18:a2,N/A
40 cm,-75,08:7b:87:b3:18:a3,N/A
40 cm,-79,08:7b:87:b2:f2:e0,N/A
40 cm,-79,08:7b:87:b2:f2:e1,N/A
